"user_id","vis_type","model_type","color_ramp_index","target_value","selected_value","aesthetic_rating","trial_number"
"16","choropleth","designer","25","4","3","26","5"
"16","heatmap","designer","22","7","8","18","6"
"16","heatmap","bayesian","16","2","3","-23","7"
"16","scatter","engagement","0","8","8","13","8"
"16","heatmap","linear","14","5","6","-100","9"
"16","heatmap","kmeans","7","6","5","100","10"
"16","choropleth","linear","12","7","7","-20","11"
"16","scatter","kmeans","10","1","1","0","12"
"16","heatmap","linear","11","4","5","16","13"
"16","scatter","designer","16","2","1","21","14"
"16","choropleth","designer","6","5","6","-2","15"
"16","choropleth","kmeans","24","6","6","16","16"
"16","choropleth","linear","7","0","0","-13","17"
"16","scatter","linear","18","7","7","-24","18"
"16","choropleth","kmeans","8","0","1","46","19"
"16","scatter","bayesian","15","0","0","0","20"
"16","scatter","kmeans","17","3","4","55","21"
"16","heatmap","designer","21","1","1","21","22"
"16","heatmap","engagement","0","8","8","-24","23"
"16","heatmap","designer","13","6","6","-100","24"
"16","choropleth","linear","4","8","8","33","25"
"16","scatter","linear","13","1","1","-12","26"
"16","scatter","bayesian","26","7","7","-16","27"
"16","scatter","kmeans","23","1","1","100","28"
"16","choropleth","designer","12","5","6","-12","29"
"16","scatter","linear","10","8","8","12","30"
"16","choropleth","bayesian","4","0","0","-12","31"
"16","heatmap","kmeans","26","2","1","23","32"
"16","heatmap","bayesian","24","0","0","-15","33"
"16","heatmap","linear","22","7","8","-100","34"
"16","scatter","bayesian","13","4","5","30","35"
"16","heatmap","bayesian","18","0","0","13","36"
"16","scatter","designer","11","1","1","-5","37"
"16","scatter","designer","17","2","2","-5","38"
"17","scatter","kmeans","2","2","2","0","0"
"17","scatter","designer","21","0","0","0","1"
"17","heatmap","bayesian","25","8","8","0","2"
"17","heatmap","designer","8","7","7","0","3"
"17","scatter","kmeans","1","0","0","0","4"
"17","choropleth","linear","2","3","0","0","5"
"17","scatter","linear","19","5","3","0","6"
"17","heatmap","linear","9","4","3","0","7"
"17","scatter","kmeans","0","8","8","0","8"
"17","scatter","linear","6","3","1","0","9"
"17","heatmap","kmeans","15","5","6","0","10"
"17","heatmap","engagement","0","8","8","0","11"
"17","scatter","linear","16","3","0","0","12"
"17","choropleth","kmeans","21","1","0","0","13"
"17","choropleth","bayesian","15","6","5","0","14"
"17","choropleth","linear","8","3","3","0","15"
"17","scatter","designer","2","5","5","0","16"
"17","heatmap","linear","4","4","5","0","17"
"17","scatter","designer","5","7","6","0","18"
"17","choropleth","kmeans","13","0","0","0","19"
"17","scatter","bayesian","17","7","7","0","20"
"17","choropleth","bayesian","26","7","7","0","21"
"17","scatter","bayesian","22","8","8","0","22"
"17","choropleth","kmeans","7","7","8","0","23"
"17","scatter","bayesian","8","2","2","0","24"
"17","choropleth","engagement","0","8","8","0","25"
"17","scatter","engagement","0","8","8","0","26"
"17","choropleth","bayesian","5","6","8","0","27"
"17","heatmap","linear","23","4","5","0","28"
"17","choropleth","linear","24","6","5","0","29"
"17","choropleth","designer","18","3","2","0","30"
"17","choropleth","designer","20","7","7","0","31"
"17","heatmap","bayesian","7","5","5","0","32"
"17","heatmap","designer","22","0","0","0","33"
"17","choropleth","designer","25","8","8","0","34"
"17","heatmap","kmeans","14","7","8","0","35"
"17","heatmap","designer","19","6","6","0","36"
"17","heatmap","bayesian","18","6","5","0","37"
"17","heatmap","kmeans","8","7","7","0","38"
"19","choropleth","kmeans","13","0","0","10","0"
"19","choropleth","bayesian","22","6","6","9","1"
"19","choropleth","designer","25","1","2","9","2"
"19","scatter","bayesian","5","0","0","-7","3"
"19","choropleth","bayesian","14","3","3","6","4"
"19","choropleth","kmeans","20","8","8","-13","5"
"19","heatmap","engagement","0","8","8","-13","6"
"19","choropleth","bayesian","23","0","0","-12","7"
"19","scatter","designer","22","0","0","12","8"
"19","heatmap","kmeans","3","3","2","11","9"
"19","choropleth","kmeans","21","2","2","11","10"
"19","heatmap","linear","6","4","5","-7","11"
"19","scatter","designer","7","0","0","12","12"
