InstutionName	City	Tuition	InstitutionType
Dongguk University-Los Angeles	Los Angeles		Private
Rudolf Steiner College	Fair Oaks		Private
Sacramento City College	Sacramento	6309	Public
Saddleback College	Mission Viejo	9213	Public
Samuel Merritt University	Oakland		Private
San Diego City College	San Diego	5596	Public
Golf Academy of America-Carlsbad	Carlsbad	26513	Private
San Diego Mesa College	San Diego	6265	Public
San Diego Miramar College	San Diego	6449	Public
San Diego State University	San Diego	12567	Public
University of San Diego	San Diego	30191	Private
San Francisco Art Institute	San Francisco	38754	Private
San Francisco Conservatory of Music	San Francisco	45052	Private
San Francisco State University	San Francisco	11658	Public
San Francisco Theological Seminary	San Anselmo		Private
University of San Francisco	San Francisco	30154	Private
San Joaquin College of Law	Clovis		Private
San Joaquin Delta College	Stockton	8994	Public
San Joaquin Valley College-Visalia	Visalia	17835	Private
William Jessup University	Rocklin	20833	Private
San Jose City College	San Jose	9608	Public
San Jose State University	San Jose	12862	Public
College of San Mateo	San Mateo	2177	Public
Santa Barbara Business College-Bakersfield	Bakersfield	14614	Private
Westwood College-Los Angeles	Los Angeles	26724	Private
Santa Barbara Business College-Santa Maria	Santa Maria	14929	Private
Santa Barbara City College	Santa Barbara	9804	Public
Santa Clara University	Santa Clara	34556	Private
Santa Monica College	Santa Monica	6040	Public
Santa Rosa Junior College	Santa Rosa	6171	Public
Saybrook University	Oakland		Private
Scripps College	Claremont	28736	Private
Wyotech-Fremont	Fremont	19544	Private
College of the Sequoias	Visalia	417	Public
Shasta Bible College and Graduate School	Redding	14847	Private
Shasta College	Redding	4831	Public
Sierra College	Rocklin	8062	Public
Sierra College of Beauty	Merced	3198	Private
Sierra Valley College of Court Reporting	Fresno	20804	Private
Trinity Law School	Santa Ana		Private
Simpson University	Redding	18092	Private
College of the Siskiyous	Weed	8160	Public
Charles A Jones Career and Education Center	Sacramento	2397	Public
Skyline College	San Bruno	3604	Public
San Bernardino Valley College	San Bernardino	6518	Public
Saint Mary's College of California	Moraga	32605	Private
Solano Community College	Fairfield	7213	Public
Sonoma State University	Rohnert Park	15913	Public
Pinnacle College	Alhambra	20017	Private
South Baylo University	Anaheim		Private
South Coast College	Orange	21265	Private
Vanguard University of Southern California	Costa Mesa	23952	Private
Concorde Career College-Garden Grove	Garden Grove	22082	Private
Southwestern College	Chula Vista	4535	Public
Starr King School for the Ministry	Berkeley		Private
Marshall B Ketchum University	Fullerton		Private
Southern California Institute of Architecture	Los Angeles	46509	Private
University of Southern California	Los Angeles	28344	Private
Southwestern Law School	Los Angeles		Private
Taft College	Taft	6586	Public
Claremont School of Theology	Claremont		Private
Thomas Aquinas College	Santa Paula	20460	Private
Marinello Schools of Beauty-Lake Forest	Lake Forest	13237	Private
Epic Bible College	Sacramento	21581	Private
United Education Institute-Huntington Park Campus	Huntington Park	20031	Private
Concorde Career College-San Bernardino	San Bernardino	20729	Private
Universal College of Beauty Inc-Los Angeles 1	Los Angeles	14021	Private
Concorde Career College-North Hollywood	North Hollywood	21316	Private
Ventura College	Ventura	2841	Public
Victor Valley Beauty College Inc	Victorville	12083	Private
Victor Valley College	Victorville	7349	Public
Berkeley City College	Berkeley	8422	Public
Walden University	Minneapolis	27851	Private
Waynes College of Beauty	Salinas	6787	Private
West Hills College-Coalinga	Coalinga	6478	Public
West Los Angeles College	Culver City	6659	Public
West Valley College	Saratoga	10018	Public
Carrington College-Sacramento	Sacramento	17911	Private
Westminster Theological Seminary in California	Escondido		Private
Westmont College	Santa Barbara	30370	Private
Whittier College	Whittier	32984	Private
Woodbury University	Burbank	24268	Private
The Wright Institute	Berkeley		Private
Western State College of Law at Argosy University	Fullerton		Private
Thomas Jefferson School of Law	San Diego		Private
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary	Los Angeles	5309	Private
Yuba College	Marysville	5345	Public
The Salon Professional Academy-Grand Junction	Grand Junction	10884	Private
Adams State University	Alamosa	15868	Public
Aims Community College	Greeley	9486	Public
Arapahoe Community College	Littleton	9238	Public
Bel-Rea Institute of Animal Technology	Denver	20440	Private
Everest College-Colorado Springs	Colorado Springs	19319	Private
University of Colorado Denver/Anschutz Medical Campus	Denver	13774	Public
University of Colorado Colorado Springs	Colorado Springs	15151	Public
Redstone College	Broomfield	19917	Private
University of Colorado Boulder	Boulder	21792	Public
Colorado Christian University	Lakewood	23698	Private
Colorado College	Colorado Springs	27434	Private
Concorde Career College-Aurora	Aurora	21502	Private
The Art Institute of Colorado	Denver	25734	Private
Colorado Mountain College	Glenwood Springs	9753	Public
Colorado Northwestern Community College	Rangely	10603	Public
Colorado School of Mines	Golden	25777	Public
Colorado School of Trades	Lakewood	16410	Private
Colorado State University-Fort Collins	Fort Collins	16526	Public
Colorado Technical University-Colorado Springs	Colorado Springs	18920	Private
Empire Beauty School-Lakewood	Lakewood	13231	Private
Community College of Aurora	Aurora	13531	Public
CollegeAmerica-Denver	Denver	24416	Private
Delta Montrose Technical College	Delta	9975	Public
Prince Institute-Rocky Mountains	Westminster		Private
Community College of Denver	Denver	8303	Public
Lincoln College of Technology-Denver	Denver	20187	Private
Denver Seminary	Littleton		Private
Westwood College-Denver North	Denver	22313	Private
University of Denver	Denver	29771	Private
Emily Griffith Technical College	Denver	5394	Public
Fort Lewis College	Durango	15254	Public
Front Range Community College	Westminster	10030	Public
Glenwood Beauty Academy	Glenwood Springs	14608	Private
Hair Dynamics Education Center	Fort Collins	12732	Private
Iliff School of Theology	Denver		Private
International Salon and Spa Academy	Colorado Springs	14518	Private
Lamar Community College	Lamar	10716	Public
Colorado Mesa University	Grand Junction	15874	Public
Metropolitan State University of Denver	Denver	10378	Public
Morgan Community College	Fort  Morgan	9160	Public
Naropa University	Boulder	26505	Private
National American University-Colorado Springs	Colorado Springs	15187	Private
National American University-Denver	Denver	13989	Private
Nazarene Bible College	Colorado Springs	17087	Private
Northeastern Junior College	Sterling	11557	Public
University of Northern Colorado	Greeley	16852	Public
