InstutionName	City	Tuition	InstitutionType
Otero Junior College	La Junta	10394	Public
Everest College-Thornton	Thornton	20532	Private
Pikes Peak Community College	Colorado Springs	10197	Public
IBMC College	Colorado Springs	15596	Private
Pueblo Community College	Pueblo	8951	Public
Red Rocks Community College	Lakewood	9225	Public
Regis University	Denver	23564	Private
Rocky Mountain College of Art and Design	Lakewood	31129	Private
Montessori Education Center of the Rockies	Boulder	12635	Private
Colorado State University-Pueblo	Pueblo	12973	Public
Pickens Technical College	Aurora	7153	Public
Intellitec College-Colorado Springs	Colorado Springs	16386	Private
Intellitec College-Grand Junction	Grand Junction	13429	Private
Trinidad State Junior College	Trinidad	10072	Public
Empire Beauty School-Thornton	Thornton	13720	Private
Western State Colorado University	Gunnison	14352	Public
Albertus Magnus College	New Haven	22893	Private
Paul Mitchell the School-Danbury	Danbury	18945	Private
Asnuntuck Community College	Enfield	7466	Public
Branford Hall Career Institute-Branford Campus	Branford	27039	Private
Lincoln College of New England-Southington	Southington	26484	Private
Bridgeport Hospital School of Nursing	Bridgeport	25247	Private
University of Bridgeport	Bridgeport	22626	Private
Central Connecticut State University	New Britain	15643	Public
Charter Oak State College	New Britain		Private
Connecticut Center for Massage Therapy-Newington	Newington	22261	Private
Connecticut College	New London	27345	Private
Marinello Schools of Beauty-East Hartford	East Hartford	17636	Private
Porter and Chester Institute of Branford	Branford	24124	Private
University of Connecticut	Storrs	20337	Public
Goodwin College	East Hartford	21948	Private
Lincoln Technical Institute-East Windsor	East Windsor	15988	Private
Eastern Connecticut State University	Willimantic	18450	Public
Fairfield University	Fairfield	36935	Private
Paul Mitchell the School-North Haven	North Haven	17850	Private
Capital Community College	Hartford	8786	Public
Rensselaer Hartford Graduate Center Inc	Hartford		Private
American Institute-West Hartford	West Hartford	14295	Private
Hartford Seminary	Hartford		Private
University of Hartford	West Hartford	27156	Private
Holy Apostles College and Seminary	Cromwell		Private
Housatonic Community College	Bridgeport	5104	Public
Lyme Academy College of Fine Arts	Old Lyme	28097	Private
Manchester Community College	Manchester	3859	Public
Naugatuck Valley Community College	Waterbury	6802	Public
Middlesex Community College	Middletown	4346	Public
Mitchell College	New London	26936	Private
Three Rivers Community College	Norwich	4044	Public
Lincoln Technical Institute-New Britain	New Britain	18944	Private
New England Tractor Trailer Training School of Connecticut	Somers	9820	Private
University of New Haven	West Haven	30225	Private
Ridley-Lowell Business & Technical Institute-New London	New London	20882	Private
Norwalk Community College	Norwalk	7801	Public
Northwestern Connecticut Community College	Winsted	6053	Public
Paier College of Art Inc	Hamden	14584	Private
Marinello Schools of Beauty-Meriden	Meriden	16140	Private
Porter and Chester Institute of Stratford	Stratford	23754	Private
Post University	Waterbury	31106	Private
Quinebaug Valley Community College	Danielson	5923	Public
Quinnipiac University	Hamden	35566	Private
Sacred Heart University	Fairfield	36796	Private
University of Saint Joseph	West Hartford	24792	Private
Gateway Community College	New Haven	6579	Public
St Vincent's College	Bridgeport	17236	Private
Southern Connecticut State University	New Haven	14741	Public
Stone Academy-Hamden	West Haven	15916	Private
Tri-State College of Acupuncture	New York		Private
Trinity College	Hartford	29514	Private
Tunxis Community College	Farmington	7370	Public
Wesleyan University	Middletown	30052	Private
Western Connecticut State University	Danbury	17269	Public
Yale-New Haven Hospital Dietetic Internship	New Haven		Private
Yale University	New Haven	20168	Private
Margaret H Rollins School of Nursing at Beebe Medical Center	Lewes		Private
Dawn Career Institute Inc	Wilmington	19460	Private
Delaware Technical Community College-Owens	Georgetown	7007	Public
Delaware Technical Community College-Terry	Dover	7426	Public
Delaware Technical Community College-Stanton/Wilmington	Wilmington	7575	Public
Delaware State University	Dover	15655	Public
University of Delaware	Newark	16178	Public
Goldey-Beacom College	Wilmington	19000	Private
Schilling-Douglas School of Hair Design LLC	Newark	16249	Private
Wesley College	Dover	20473	Private
Wilmington University	New Castle	15015	Private
American University	Washington	36074	Private
Catholic University of America	Washington	34770	Private
University of the District of Columbia	Washington	16313	Public
Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies	Washington		Private
Gallaudet University	Washington	14203	Private
George Washington University	Washington	30057	Private
Georgetown University	Washington	27506	Private
Howard University	Washington	23191	Private
Medtech Institute	Falls Church	18902	Private
Strayer University-District of Columbia	Washington	30182	Private
National Conservatory of Dramatic Arts	Washington	10653	Private
Trinity Washington University	Washington	14881	Private
Wesley Theological Seminary	Washington		Private
Wyotech-Daytona	Ormond Beach	29679	Private
The Art Institute of Fort Lauderdale	Fort Lauderdale	23114	Private
Atlantic Technical College	Coconut Creek	9617	Public
The Baptist College of Florida	Graceville	11195	Private
Barry University	Miami	23985	Private
Gooding Institute of Nurse Anesthesia	Panama City		Private
Bethune-Cookman University	Daytona Beach	16447	Private
Lynn University	Boca Raton	35396	Private
GUTI The Premier Beauty & Wellness Academy	Bradenton	11449	Private
Bradford-Union Technical Center	Starke		Private
Eastern Florida State College	Cocoa	6787	Public
Broward College	Fort Lauderdale	11193	Public
Fortis College-Winter Park	Winter Park		Private
Carlos Albizu University-Miami	Miami	25030	Private
College of Central Florida	Ocala	9267	Public
Johnson University Florida	Kissimmee	15120	Private
University of Central Florida	Orlando	13724	Public
Charlotte Technical Center	Port Charlotte	11603	Public
Chipola College	Marianna	3392	Public
Clearwater Christian College	Clearwater	18051	Private
Lorenzo Walker Technical College	Naples	9783	Public
Daytona State College	Daytona Beach	5234	Public
South University-West Palm Beach	Royal Palm Beach	23085	Private
Eckerd College	Saint Petersburg	30879	Private
Florida SouthWestern State College	Fort Myers	10436	Public
Edward Waters College	Jacksonville	11901	Private
Embry-Riddle Aeronautical University-Daytona Beach	Daytona Beach	33659	Private
Florida Agricultural and Mechanical University	Tallahassee	12327	Public
Florida Atlantic University	Boca Raton	13372	Public
Florida State College at Jacksonville	Jacksonville	7546	Public
Flagler College-St Augustine	Saint Augustine	21197	Private
Florida College	Temple Terrace	20640	Private
Concorde Career Institute-Jacksonville	Jacksonville	20376	Private
Concorde Career Institute-Miramar	Miramar	20033	Private
Concorde Career Institute-Tampa	Tampa	21685	Private
Adventist University of Health Sciences	Orlando	16735	Private
Florida Institute of Technology	Melbourne	27291	Private
Florida Institute of Ultrasound Inc	Pensacola		Private
Florida International University	Miami	11845	Public
Florida Keys Community College	Key West	13696	Public
Florida Memorial University	Miami Gardens	16531	Private
Florida Career College-Miami	Miami	35030	Private
Florida School of Massage	Gainesville	15138	Private
Florida Southern College	Lakeland	22756	Private
Florida State University	Tallahassee	15827	Public
Florida Technical College	Orlando	15486	Private
University of Southernmost Florida	Jacksonville	13108	Private
University of Florida	Gainesville	11778	Public
Everest University-Pompano Beach	Pompano Beach	22118	Private
Fort Pierce Beauty Academy	Fort Pierce	7908	Private
Full Sail University	Winter Park	30773	Private
George Stone Technical Center	Pensacola	7601	Public
George T Baker Aviation Technical College	Miami	2808	Public
Gulf Coast State College	Panama City	5523	Public
Key College	Dania Beach	17405	Private
Hillsborough Community College	Tampa	5368	Public
Hobe Sound Bible College	Hobe Sound	5643	Private
Hollywood Institute of Beauty Careers	Hollywood	17823	Private
Cortiva Institute-Florida	Pinellas Park	20337	Private
Indian River State College	Fort Pierce	2535	Public
Sanford-Brown College-Tampa	Tampa	19037	Private
International Academy	South Daytona	16322	Private
AI Miami International University of Art and Design	Miami	24242	Private
ITT Technical Institute-Tampa	Tampa	22695	Private
Jacksonville University	Jacksonville	21397	Private
Jones College-Jacksonville	Jacksonville	9051	Private
Keiser University-Ft Lauderdale	Fort Lauderdale	23454	Private
Heritage Institute-Ft Myers	Fort Myers	19565	Private
La Belle Beauty School	Hialeah	8495	Private
Florida Gateway College	Lake City	3844	Public
Lake Technical College	Eustis	8971	Public
Lake-Sumter State College	Leesburg	4212	Public
Fort Myers Technical College	Fort Myers	6575	Public
Lively Technical Center	Tallahassee	11172	Public
Lindsey Hopkins Technical College	Miami	5775	Public
Loraines Academy & Spa	Saint Petersburg	17393	Private
Luther Rice University & Seminary	Lithonia	15229	Private
State College of Florida-Manatee-Sarasota	Bradenton	10260	Public
Manatee Technical College	Bradenton	2817	Public
Manhattan Hairstyling Academy	Tampa	15055	Private
Traviss Career Center	Lakeland	7372	Public
Merryfield School of Pet Grooming	Oakland Park		Private
Trinity International University-Florida	Davie		Private
Miami Lakes Educational Center and Technical College	Miami Lakes	10729	Public
Miami Dade College	Miami	8677	Public
University of Miami	Coral Gables	32297	Private
Orange Technical College-Mid Florida Campus	Orlando	8054	Public
Beauty Schools of America-Miami	Miami	18734	Private
Remington College-Tampa Campus	Tampa	21606	Private
Everest Institute-North Miami	Miami	21006	Private
Academy of Palm Beach	Lake Worth	11861	Private
Lincoln College of Technology-West Palm Beach	West Palm Beach	23376	Private
Paul Mitchell the School-Jacksonville	Jacksonville	15924	Private
North Florida Community College	Madison	4478	Public
University of North Florida	Jacksonville	11870	Public
Northwood University-Florida	West Palm Beach	19976	Private
Nova Southeastern University	Fort Lauderdale	25476	Private
Northwest Florida State College	Niceville	8405	Public
Everest University-North Orlando	Orlando	21355	Private
Orange Technical College-Orlando Campus	Orlando	13483	Public
Palm Beach Atlantic University	West Palm Beach	19326	Private
Palm Beach State College	Lake Worth	2391	Public
Pasco-Hernando State College	New Port Richey	5823	Public
Pensacola State College	Pensacola	7359	Public
Pinellas Technical College-Clearwater	Clearwater	12649	Public
Polk State College	Winter Haven	9216	Public
Radford M Locklin Technical Center	Milton	1943	Public
Saint Vincent de Paul Regional Seminary	Boynton Beach		Private
Ridge Career Center	Winter Haven	18692	Public
Ringling College of Art and Design	Sarasota	45764	Private
Robert Morgan Educational Center and Technical College	Miami	10279	Public
Rollins College	Winter Park	29048	Private
First Coast Technical College	Saint Augustine	10523	Public
Saint Leo University	Saint Leo	19388	Private
St Petersburg College	Clearwater	7773	Public
Pinellas Technical College-St. Petersburg	Saint Petersburg	12924	Public
Santa Fe College	Gainesville	9982	Public
Suncoast Technical College	Sarasota	9453	Public
Argosy University-Sarasota	Sarasota	19473	Private
Seminole State College of Florida	Sanford	8909	Public
Sheridan Technical College	Hollywood	7859	Public
Saint John Vianney College Seminary	Miami	31655	Private
Saint Johns River State College	Palatka	6576	Public
South Florida State College	Avon Park	5267	Public
University of South Florida-Main Campus	Tampa	10027	Public
St Thomas University	Miami Gardens	21620	Private
Stenotype Institute of Jacksonville Inc-Jacksonville	Jacksonville	24157	Private
Stetson University	DeLand	23596	Private
Southeastern University	Lakeland	19942	Private
Benes International School of Beauty	New Port Richey	17614	Private
RIVEROAK Technical College	Live Oak	15198	Public
Tallahassee Community College	Tallahassee	4761	Public
Talmudic College of Florida	Miami Beach	12915	Private
Everest University-Tampa	Tampa	22511	Private
Everest University-Largo	Largo	22231	Private
The University of Tampa	Tampa	26863	Private
Taylor Technical Institute	Perry	2510	Public
Tom P Haney Technical Center	Panama City	6277	Public
Trinity Baptist College	Jacksonville	11703	Private
Trinity College of Florida	Trinity	17937	Private
Fashion Focus Hair Academy	Sarasota	15760	Private
Valencia College	Orlando	6267	Public
Warner University	Lake Wales	15235	Private
Florida Panhandle Technical College	Chipley	18895	Public
Webber International University	Babson Park	20520	Private
Rasmussen College-Florida	Ocala	18616	Private
The University of West Florida	Pensacola	11227	Public
Orange Technical College-Westside Campus	Winter Garden	20054	Public
William T McFatter Technical College	Davie	8769	Public
